State,Area_Ha_2023,Area_Ha_2024,Production_MT_2023,Production_MT_2024,Yield_MT_Ha_2023,Yield _MT_Ha_2024
Kwara,138055.46,139712.12,170413.38,176377.85,1.23,1.26
Abia,20274.95,20518.25,57745.36,59766.44,2.85,2.91
Ebonyi,41831.1,42333.07,1101144.55,1139684.61,26.32,26.92
Imo,54827.39,55485.32,231833.71,239947.89,4.23,4.32
Akwa Ibom,53998.46,54646.44,789516.54,817149.62,14.62,14.95
Bayelsa,88659.31,89723.22,247608.72,256275.03,2.79,2.86
Edo,97223.78,98390.46,644197.46,666744.37,6.63,6.78
Lagos,9508.38,9622.48,10424.98,10789.86,1.1,1.12
National,504378.83,510431.37,3252884.69,3366735.66,6.45,6.6
