"detail_url","Crop Name","National Code","Variety Name","Original Name","Outstanding Characteristics","Agroecological Zones","Origin/Source","Developing Institute","Breeder(s)/Collaborators","Potential Yield (t/ha)","Year of Release","Year of Registration","Summary Yield (t/ha)"
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=383&cropid=10&task=view","Rubber","NGHB-00-9","NIG-812","RRINC-162","High late yield of 2300- 2800 kg/ha/year compared to yield of 300 - 400kg/ha/year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.","Rainforest, Savanna","Nigeria","RRIN Benin City","Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",2.8,1980,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=384&cropid=10&task=view","Rubber","NGHB-00-10","NIG-813","RRINC-202","High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.","Rainforest, Savanna","Nigeria","RRIN Benin City","Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",2.8,1980,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=385&cropid=10&task=view","Rubber","NGHB-08-11","NIG-802","RRINC-114","High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones. (1.7-2t/ha)","Rainforest, Savanna","Nigeria","RRIN Benin City","Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",2,1980,2008,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=387&cropid=10&task=view","Rubber","NGHB-08-13","NIG-804","RRINC-1","High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones. (2.2-3.2t/ha)","Rainforest, Savanna","Nigeria","RRIN Benin City","Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",3.2,1980,2008,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=388&cropid=10&task=view","Rubber","NGHB-08-14","NIG-805","RRINC-15","High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones. (1.4-1.9t/ha)","Rainforest Savanna","Nigeria","RRIN Benin City","Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",1.9,1980,2008,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=447&cropid=13&task=view","Sugarcane","NGSO - 96-3","CB - 53/98","CB - 53/98","Good juice quality and early tillering",NA,"Compos, Brazil","13 Breeding Institute Compos, Brazil.",NA,NA,1980,1996,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=466&cropid=14&task=view","Tomato","NGLE -91-1","SAMTOM -1","CIRIO -56","High yielding, good paste qualities, field tolerance to leaf diseases and moderately resistant to Fusarium race 1. (47.5-<br>55.3t/ha)",NA,"Introduction from stezione Agraria Sperimentale, Bari, Italy","IAR, Samaru Zaria","J.G. Quinn",55.3,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=467&cropid=14&task=view","Tomato","NGLE -91-2","SAMTOM - 2","MARZANINO","High yielding, good paste qualties, field tolerance to leaf diseases and moderately resistant to Fusarium race 1. (51.7-<br>64.1t/ha)",NA,"Stazoine Sperimantele Parma, Italy","IAR, Samaru Zaria","J.G. Quinn",64.1,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=468&cropid=14&task=view","Tomato","NGLE -91-3","SAMTOM -3","Piacenza 0164","High yield under heavy leaf spot disease pressure, good paste qualities",NA,"Institute Nazionale Gertica Rome, Italy","IAR, Samaru Zaria","J.G. Quinn",NA,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=469&cropid=14&task=view","Tomato","NGLE -91-4","SAMTOM -4","Harvester","High yield and good paste qualities. (49.5-59.1t/ha)",NA,"FMG Corp, California U.S.A. Peto, Italian, parwa, Italy USDA, Beltsville, Maryland, U.S.A.","IAR, Samaru Zaria","J.G. Quinn",59.1,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=470&cropid=14&task=view","Tomato","NGLE -91-5","SAMTOM -5","Chico","High yield and some heat tolerance. Good paste qualities.",NA,"Texas-A&M Weslaco, U.S.A","IAR, Samaru Zaria","J.G. Quinn",NA,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=471&cropid=14&task=view","Tomato","NGLE -91-6","SAMTOM -6","La Bonita","Uniform size, round and attractive fruit with skin suitable for salad",NA,"Texas-A&M Weslaco, U.S.A","IAR, Samaru Zaria","J.G. Quinn",NA,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=472&cropid=14&task=view","Tomato","NGLE -91-7","SAMTOM -7","Roma -VF","Combines high yield with good paste qualities, good processing tomato",NA,"Royal Sluis, Enkhuizen, Holland","IAR, Samaru Zaria","J.G. Quinn",NA,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=473&cropid=14&task=view","Tomato","NGLE -91-8","SAMTOM -8","Gamad","High yield and good paste color, reported to have some drought tolerance. (48.3-62.4t/ha)",NA,"Hazer seed Ltd, Italfa, Isreal","IAR, Samaru Zaria","J.G. Quinn",62.4,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=474&cropid=14&task=view","Tomato","NGLE -91-9","SAMTOM -9","Gemed - F","Similar to SAMTOM -8, but also resistant to Fusarium, yield 42, 100- 45, 600kg/ha. (42.1- 45.6t/ha)",NA,"Hazara Seeds Ltd., Halta Isreal, Dizing of W.A. (Nig) Ltd., Apapa Lagos","IAR, Samaru Zaria","J.G. Quinn",45.6,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=475&cropid=14&task=view","Tomato","NGLE -91-10","SAMTOM -10","Ife -1","Medium size, round and attractive fruit with their skin, good for salad. (49- 53.9t/ha)",NA,"Faculty of Agriculture, O.A.U. Ile Ife.","Faculty of Agriculture, O.A.U. Ile Ife.","Dr. T. Fatunla",53.9,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=476&cropid=14&task=view","Tomato","NGLE -91-11","SAMTOM -11","Enterpriser","Produces very large and attractive skin for salad. (46-53.7t/ha)",NA,"USDA, Beltsville, Maryland U.S.A.","IAR, Samaru Zaria","J.G. Quinn",53.7,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=477&cropid=14&task=view","Tomato","NGLE -91-12","SAMTOM -12","Ronita","High yielding and good paste qualities",NA,"Station and Arnwlioration des plates maraicheris, Monfavent France","IAR, Samaru Zaria","J.G. Quinn",NA,1980,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=572&cropid=29&task=view","Coconut","NGCN-00-3","NIFOR Hybrid",NA,"Early flowering and good fruit composition.","Humid Forest, Forest Transition/Derived Savanna","NIFOR Benin City","NIFOR Benin City","Mr. C.O. Obasola, Dr. K.U.K. Nampthiri, Dr.M.O. Otedoh, Dr. (Mrs) C.O. Okwuagwu, Dr.E.E.J. Akpan, Dr. J.O. Odewale, Dr. E.C.Okolo, & Dr. C. Ataga.",NA,1980,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=583&cropid=33&task=view","Irish Potato","NGST-03-1","VC 801-4","VC 801-4","High and stable yield, Large tubers with few branches.",NA,"Nigeria","NCRI Umudike, Abia State","Mr. Suchone Del.R",NA,1980,2003,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=210&cropid=7&task=view","Maize","NGZM-01-60","YELLOW (POPCORN) COMPOSITE","I.A.R. & T. YELLOW POP","Resistant to Blight and Rust, yield 2kg/ha.","All ecological zones","I.A.R. & T.","I.A.R. & T.","Dr. A.O. obajimi",NA,1979,2001,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=211&cropid=7&task=view","Maize","NGZM-01-61","WHITE (POPCORN)","I.A.R. & T. WHITE POP","Moderately resistant to blight and Rust.","All ecological zones","I.A.R. &.T","I.A.R. & T.","Dr. A.O. obajimi",NA,1979,2001,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=451&cropid=13&task=view","Sugarcane","NGSO - 96-7","B 47419","B 47419","Resistant to smut and other diseases.Vigorous tillering and ratooing habit. Non hairy leaves",NA,"Barbados","WICSBS, Barbados Intro to Nigeria by SSCL",NA,NA,1979,1996,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=547&cropid=23&task=view","Melon","NGCL-00-1","Egusi Bara","NHCL 1","Prolific fruit setting and high seed yield. Seeds are easy to shell.",NA,"I.I.T.A.","I.I.T.A.","Dr. Wilson, Mr. Adeniran and Dr. Denton",NA,1979,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=548&cropid=23&task=view","Melon","NGCL-00-2","Egusi Serewe","NHC 2","High number of seeds per fruit with profuse branching habit and medium fruit size.",NA,"I.I.T.A.","I.I.T.A.","Dr. Wilson, Mr. Adeniran and Dr. Denton",NA,1979,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=68&cropid=3&task=view","Cowpea","NGVU-96-9","SAMPEA-1","I.A.R.-339","Consistent and stable in yield, good palatability, grains cook in 40-45 minutes",NA,"Nigeria","I.A.R., Samaru, Zaria","Prof. O. I. Leleji",NA,1978,1996,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=69&cropid=3&task=view","Cowpea","NGVU-96-10","SAMPEA-2","I.A.R.-353","Good palatability, grain cook in 30 - 45 minutes.",NA,"Nigeria","I.A.R., Samaru, Zaria","Prof. O. I. Leleji",NA,1978,1996,NA
