"detail_url","Crop Name","National Code","Variety Name","Original Name","Outstanding Characteristics","Agroecological Zones","Origin/Source","Developing Institute","Breeder(s)/Collaborators","Potential Yield (t/ha)","Year of Release","Year of Registration","Summary Yield (t/ha)"
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=519&cropid=17&task=view","Amaranthus","NGAC-00-1","Tete (Green)","NHAC 49","Late maturing, adaptable to several cuttings, high yielding and nematode resistant.",NA,"Ote (Kwara State)","NIHORT","Dr.Denton, Olufolaji and Badra",NA,1985,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=535&cropid=20&task=view","Okra","NGAE-00-3","NHAR 47-4","NHAR 47-4","Early maturing, good draw property.",NA,"Ilorin","NIHORT","Dr. O.A. Denton and Prem Nath",NA,1985,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=1&cropid=1&task=view","Cassava","NGME 91-1","NICASS 1","TMS-30572 (Idi- Oshe)","High yielding",NA,"IITA Ibadan","IITA Ibadan","Dr. S. K. Hahn",NA,1984,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=64&cropid=3&task=view","Cowpea","NGVU 91-5","Kudi","K-59","Uniformity in flowering and maturity, pest and disease resistance","All ecological zones","Nigeria (Local selection)","NCRI, Badeggi","O.A. Ojomo, S.O. Olafare, M.A. Adenihun & J.A. Raji",NA,1984,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=98&cropid=4&task=view","Soybean","NGGM-96-5","TGM-344 Hemon","TGM-344 Hemon","Good nodulation",NA,"Uganda","IITA & I.A.R.&T, Ibadan","E. A. Keuneman, P.O. Oyekan & N.O. Afolabi.",NA,1984,1996,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=99&cropid=4&task=view","Soybean","NGGM-96-6","TGX-306-036C","TGX-306-036C","High protein content",NA,"Nigeria","IITA & I.A.R.&T, Ibadan","E.A. Keuneman, W. R. Root, P.O. Oyekan & N.O. Afolabi.",NA,1984,1996,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=157&cropid=7&task=view","Maize","NGZM-91-7","NARZO-24","DMR-LSRW","Resistant to downy mildew, sturdy and vigorous plants","Forest and savanna ecological zones","IITA, Ibadan","IITA, Ibadan","J.M. Fajemisin",NA,1984,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=158&cropid=7&task=view","Maize","NGZM-91-8","NARZO-25","DMR-LSRY","Resistant to downy mildew, sturdy and vigorous plants","Forest and savanna ecological zones","IITA, Ibadan","IITA, Ibadan","J.M. Fajemisin",NA,1984,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=159&cropid=7&task=view","Maize","NGZM-91-9","NARZH-1","8321-18","Resistant to streak, striga/ weevil; semi-flint garin. High yielding- 6.5t/ha.","Forest and savanna ecological zones","IITA, Ibadan","IITA, Ibadan","S. K. Kim, Y. Efron, J. M. Fajemisin & Z. T. Dabrowski",6.5,1984,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=160&cropid=7&task=view","Maize","NGZM-91-10","NARZH-2","8321-21","High yielding, 6t/ha Resistant to streak, rust blight, dent grain texture.","Forest and savanna ecological zones","IITA, Ibadan","IITA, Ibadan","S. K. Kim, Y. Efron, J. M. Fajemisin & Z. T. Dabrowski",6,1984,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=161&cropid=7&task=view","Maize","NGZM-91-11","NARZH-3","8522-3","High yielding, 6t/ha Resistant to streak, rust blight, dent grain texture.",NA,"IITA, Ibadan","IITA, Ibadan","S. K. Kim, Y. Efron, J. M. Fajemisin & Z. T. Dabrowski",6,1984,1991,NA
