geopolitical_zone,SN1_Name,SN1_g,SN1_pc,SN2_Name,SN2_g,SN2_pc,SN3_Name,SN3_g,SN3_pc,SN4_Name,SN4_g,SN4_pc,SN5_Name,SN5_g,SN5_pc,SN6_Name,SN6_g,SN6_pc,SN7_Name,SN7_g,SN7_pc,SN8_Name,SN8_g,SN8_pc,SN9_Name,SN9_g,SN9_pc,SN10_Name,SN10_g,SN10_pc
North Central,Maize products,1,13.4,Rice,0.9,12.6,Rice products,0.7,9.1,Beef,0.4,5.5,Cowpea,0.3,4,Garri,0.3,3.9,Sorghum products,0.3,3.6,Cowpea products,0.3,3.5,White yam products,0.2,3.1,Bread,0.1,2
North East,*Maize flour,1,14.3,Rice,0.8,11,Maize products,8.2,0.6,Rice products,0.5,6.7,*Sorghum flour,0.4,5.8,Beef,0.3,3.9,Cowpea,0.2,3.4,Millet flour,0.2,2.9,Millet products,0.2,2.8,*Condiments,0.2,2.8
North West,Maize products,1.2,15,Millet products,1,12.5,Rice,0.8,9.4,Rice products,0.5,5.8,*Sorghum flour,0.4,4.8,Sorghum products,0.4,4.7,Groundnut products,0.4,4.3,*Maize flour,0.3,3.1,Soybean products,0.2,3,*Condiments herbs and spice,0.2,2.5
South East,Garri,2.7,26.6,Rice,1.1,10.7,Beef,0.6,6,Cowpea,0.5,4.4,Cow skin,0.4,3.9,Shellfish,0.3,3.1,Bread,0.3,2.9,Cassava tuber,0.3,2.6,*Cassava flour,0.3,2.6,Melon seeds,0.3,2.5
South South,Garri,3.3,30.3,Rice,1,9.1,Beef,0.8,7.2,Plantain,0.5,4.5,Cowpea,0.5,4.4,Bread,0.3,2.8,Shellfish,0.3,2.8,Melon seeds,0.3,2.3,*Cassava flour,0.2,2.1,Cow skin,0.2,2.1
South West,Garri,3.3,30.3,Rice,1,9.1,Beef,0.8,7.2,Plantain,0.5,4.5,Cowpea,0.5,4.4,Bread,0.3,2.8,Shellfish,0.3,2.8,Melon seeds,0.3,2.3,*Cassava flour,0.2,2.1,Cow skin,0.2,2.1
