geopolitical_zone,SN1_Name,SN1_g,SN1_pc,SN2_Name,SN2_g,SN2_pc,SN3_Name,SN3_g,SN3_pc,SN4_Name,SN4_g,SN4_pc,SN5_Name,SN5_g,SN5_pc,SN6_Name,SN6_g,SN6_pc,SN7_Name,SN7_g,SN7_pc,SN8_Name,SN8_g,SN8_pc,SN9_Name,SN9_g,SN9_pc,SN10_Name,SN10_g,SN10_pc
North Central,Rice,44.2,19.2,Maize products,33.3,14.5,Sorghum products,10.8,4.7,Sugar,10.1,4.4,Rice products,8.4,3.6,Bread,7.8,3.4,Cassava flour and products ,7.7,3.4,White yam products,7.6,3.3,Cassava starch flour,6.6,2.9,*Sorghum flour,6.3,2.8
North East,Rice,35.3,14.7,*Maize flour,32.6,13.6,*Sorghum flour,21.7,9.1,Maize products,19.5,8.2,Sugar,13.1,5.5,Spaghetti,10,4.2,Maize grains grits,9.6,4,*Condiments,9.1,3.8,Sorghum products ,8,3.3,Millet flour,6.2,2.6
North West,Maize products,39.3,14.4,Rice,36.5,13.4,*Sorghum flour,18,6.6,Millet products,17.9,6.6,*Maize flour,16.5,6,Fura da nono,14.6,5.4,Sugar,13.7,5,Sorghum products ,13.1,4.8,Spaghetti,12.5,4.6,*Condiments,9.4,3.4
South East,Rice,51.8,19.4,Garri,49.1,18.3,Cassava flour and products ,24.6,9.2,Bread,16,6,White yam tuber,12.3,4.6,Soft drinks,8.7,3.2,Cassava tuber,7.1,2.7,Cowpea,6.2,2.3,Sugar,5.4,2,Noodles,5.3,2
South South,Garri,71.3,27.3,Rice,46.8,17.9,Cassava flour and products ,21.2,8.1,Bread,17.1,6.6,White yam tuber,11.7,4.5,Soft drinks,10.3,3.9,Plaintain,7.7,2.9,Cowpea,6.5,2.5,Noodles,4.8,1.8,*Condiments,4.7,1.8
South West,Rice,53.8,21.3,Garri,30.5,12.1,Bread,21.2,8.4,Cassava starch flour ,14.3,5.7,Soft drinks,12.2,4.8,White yam products,10,4,Semo swallow,9.8,3.9,Maize products,8.6,3.4,Cowpea products,8,3.2,Cowpea,7.5,3
