geopolitical_zone,SN1_Name,SN1_g,SN1_pc,SN2_Name,SN2_g,SN2_pc,SN3_Name,SN3_g,SN3_pc,SN4_Name,SN4_g,SN4_pc,SN5_Name,SN5_g,SN5_pc,SN6_Name,SN6_g,SN6_pc,SN7_Name,SN7_g,SN7_pc,SN8_Name,SN8_g,SN8_pc,SN9_Name,SN9_g,SN9_pc,SN10_Name,SN10_g,SN10_pc
North Central,Rice,4.6,11,Maize products,4.1,9.8,Cowpea products,2.4,5.7,Beef,2.3,5.4,Cowpea,2,4.7,*Condiments,1.6,3.8,Sorghum products,1.5,3.7,Bread,1.5,3.6,Catfish,1.2,3,Tilapia fish,1.2,2.8
North East,*Maize flour,5,11.7,Rice,3.6,8.4,*Sorghum flour,2.9,6.7,Maize products,2.5,5.7,*Condiments,2.3,5.3,Spaghetti,1.8,4.2,Cowpea,1.6,3.7,Groundnut,1.5,3.6,Beef,1.4,3.3,Cowpea products,1.3,3.1
North West,Maize products,5,10.2,Rice,3.8,7.9,Fura da nono,3.5,7.1,Groundnut products,2.7,5.6,Millet products,2.7,5.6,*Maize flour,2.5,5.2,*Sorghum flour,2.4,4.9,*Condiments,2.4,4.8,Soybean products,2.3,4.7,Spaghetti,2.2,4.6
South East,Rice,5.4,10.6,Beef,3.6,7.1,Bread,3.1,6.1,Cowpea,3,6,Shellfish,2.9,5.8,Mackerel fish,2.6,5,Cowpea products,2.1,4.2,Chicken,1.4,2.8,Groundnut,1.4,2.7,Stockfish fish,1.3,2.6
South South,Rice,4.9,9.8,Beef,4.5,9,Bread,3.3,6.6,Cowpea,3.3,6.5,Mackerel fish,3.2,6.3,Catfish,2.9,5.8,Shellfish,2.8,5.6,Cowpea products,1.5,2.9,Tilapia fish,1.4,2.7,Melon seeds,1.3,2.7
South West,Rice,5.4,10,Hake fish,4.5,8.3,Bread,4.1,7.6,Cowpea,3.7,7,Cowpea products,3.6,6.8,Beef,2.9,5.5,Sardine fish,2.9,5.4,Mackerel fish,2.6,4.9,Semo swallow,1.6,3.1,Chicken eggs,1.4,2.5
