geopolitical_zone,SN1_Name,SN1_g,SN1_pc,SN2_Name,SN2_g,SN2_pc,SN3_Name,SN3_g,SN3_pc,SN4_Name,SN4_g,SN4_pc,SN5_Name,SN5_g,SN5_pc,SN6_Name,SN6_g,SN6_pc,SN7_Name,SN7_g,SN7_pc,SN8_Name,SN8_g,SN8_pc,SN9_Name,SN9_g,SN9_pc,SN10_Name,SN10_g,SN10_pc
North Central,*Condiments,1.9,13.5,Maize products,1.4,10,Rice,0.9,6.3,Sorghum products,0.7,5.1,Tomato,0.7,4.8,Millet products,0.7,4.7,Pepper,0.6,4.5,Cowpea,0.5,3.5,Bread,0.5,3.4,Rice products,0.4,3
North East,*Condiments,4.1,24.2,*Maize flour,1.4,8.2,Maize products,0.9,5.3,Pepper,0.9,5.3,Millet products,0.8,5.1,*Sorghum flour,0.8,5,Rice,0.8,4.9,Sorghum products,0.6,3.3,Dried baobab powder,0.5,3.1,Tomato,0.5,2.8
North West, *Condiments,4.3,21.7,Millet products,3.2,16.2,Maize products,2,9.8,Sorghum products,0.9,4.8,Pepper,0.9,4.4,*Sorghum flour,0.8,4,Rice,0.8,3.9,Soybean products,0.6,3,Dried baobab powder,0.6,2.9,Tomato,0.5,2.5
South East,Garri,1.8,11.7,*Condiments,1.3,8.1,Rice,1.2,7.6,Shellfish,1.2,7.3,Bread,1,6.2,Banga,0.8,5.1,Cassava flour and products,0.8,5,Cowpea,0.8,4.8,Melon seeds,0.5,3,Tomato,0.5,2.9
South South,Garri,2.5,17.1,Shellfish,1.1,7.5,Rice,1,7,Bread,1,7,Cowpea,0.8,5.4,Banga,0.7,4.9,Cassava flour and products,0.7,4.7,*Condiments,0.5,3.7,Pepper,0.5,3.2,Melon seeds,0.5,3.1
South West,Rice,1.4,9.7,Bread,1.3,8.7,Garri,1.1,7.1,Cowpea,0.9,6.2,Pepper,0.8,5.5,Tomato,0.8,5.1,*Condiments,0.7,4.9,Jute mallow leaves ,0.7,4.6, Cow skin,0.6,4.1,Cowpea products,0.6,4
