state,crop,crop_equivalent_low,crop_equivalent_kg_person_year,crop_equivalent_high
1. Abia,Cassava,101.04640697800922,129.34476610943668,171.78392762708165
1. Abia,Cocoyam,0.39281589403042155,0.39281589403042155,0.39281589403042155
1. Abia,Cowpea,13.247977683549738,13.247977683549738,13.247977683549738
1. Abia,Groundnut,1.8596763591652246,1.9329779318036333,2.006279504442042
1. Abia,Maize,9.779823256526223,10.409357705205553,11.039816996198802
1. Abia,Millet,0.050219508913930046,0.050219508913930046,0.050219508913930046
1. Abia,Plantain,8.547412125135079,8.547412125135079,8.547412125135079
1. Abia,Potato,0.8171467992179345,0.8171467992179345,0.8171467992179345
1. Abia,Rice,26.494518422245974,26.494518422245974,26.494518422245974
1. Abia,Sorghum,0.029096832114185907,0.029096832114185907,0.029096832114185907
1. Abia,Soybean,0.030672427507631325,0.030672427507631325,0.030672427507631325
1. Abia,Sweet potato,1.9344141379733988,1.9344141379733988,1.9344141379733988
1. Abia,Wheat,0.1970882928911064,0.22047164967479702,0.2321633280666423
1. Abia,Yam,42.96313447482445,42.96409011370802,42.96526873499775
10. Delta,Cassava,109.04347759873363,135.76887380446462,175.77362009011458
10. Delta,Cocoyam,0.7551984484763474,0.7551984484763474,0.7551984484763474
10. Delta,Cowpea,14.656873626002342,14.656873626002342,14.656873626002342
10. Delta,Groundnut,1.6083086423467927,1.6465429258204787,1.684777209294165
10. Delta,Maize,4.481705907294733,4.727576413690155,4.974315199598303
10. Delta,Millet,0.1320874551884805,0.1320874551884805,0.1320874551884805
10. Delta,Plantain,15.605140644086049,15.605140644086049,15.605140644086049
10. Delta,Potato,0.1780162870254815,0.1780162870254815,0.1780162870254815
10. Delta,Rice,31.632775956480817,31.632775956480817,31.632775956480817
10. Delta,Sorghum,0.09726027973997133,0.09726027973997133,0.09726027973997133
10. Delta,Soybean,0,0,0
10. Delta,Sweet potato,3.544462760550446,3.544462760550446,3.544462760550446
10. Delta,Wheat,2.0181128179060996,2.257549931894959,2.3772684888893885
10. Delta,Yam,30.176363641271045,30.368476066695816,30.6054147247197
11. Ebonyi,Cassava,171.6596531339802,194.614144359973,228.74875937570678
11. Ebonyi,Cocoyam,4.577893507889779,4.577893507889779,4.577893507889779
11. Ebonyi,Cowpea,7.1357181139908645,7.1357181139908645,7.1357181139908645
11. Ebonyi,Groundnut,3.4861777476868427,3.6424453758544173,3.798713004021992
11. Ebonyi,Maize,8.273238527912154,8.78700946220813,9.312575978580307
11. Ebonyi,Millet,0,0,0
11. Ebonyi,Plantain,2.381592883459201,2.381592883459201,2.381592883459201
11. Ebonyi,Potato,0,0,0
