zone,crop,crop_equivalent_low,crop_equivalent_kg_person_year,crop_equivalent_high
1. North Central,Cassava,78.85753208189277,89.23083919541823,103.90715708708517
1. North Central,Cocoyam,0.4077475554690789,0.4077475554690789,0.4077475554690789
1. North Central,Cowpea,10.842221901296881,10.842221901296881,10.842221901296881
1. North Central,Groundnut,1.4214138246792707,1.4924887626378045,1.5635637005963385
1. North Central,Maize,23.229158937120562,24.987651866492246,27.069919749788465
1. North Central,Millet,5.413615891477421,5.413615891477421,5.413615891477421
1. North Central,Plantain,1.2008040202026158,1.2008040202026158,1.2008040202026158
1. North Central,Potato,2.5486038536829914,2.5486038536829914,2.5486038536829914
1. North Central,Rice,26.218000950141672,26.218000950141672,26.218000950141672
1. North Central,Sorghum,16.251231380954,16.251231380954,16.251231380954
1. North Central,Soybean,1.0768569196837323,1.0768569196837323,1.0768569196837323
1. North Central,Sweet potato,6.188728204785694,6.188728204785694,6.188728204785694
1. North Central,Wheat,0.4665476034584327,0.521900708953501,0.5495772617010352
1. North Central,Yam,59.110181360401015,60.09767644919156,61.315587058699904
2. North East,Cassava,63.57062812052343,65.54746658433292,68.27080296372728
2. North East,Cocoyam,0.10422856734106516,0.10422856734106516,0.10422856734106516
2. North East,Cowpea,9.102962280857074,9.102962280857074,9.102962280857074
2. North East,Groundnut,1.5221508210994332,1.5646139415234561,1.6070770619474795
2. North East,Maize,28.39850321310439,30.375485171170148,32.7726537221793
2. North East,Millet,13.21250057954993,13.21250057954993,13.21250057954993
2. North East,Plantain,0.051659501799741644,0.051659501799741644,0.051659501799741644
2. North East,Potato,0.33219640554526103,0.33219640554526103,0.33219640554526103
2. North East,Rice,20.624784132890763,20.624784132890763,20.624784132890763
2. North East,Sorghum,29.012469159109667,29.012469159109667,29.012469159109667
2. North East,Soybean,0.8751593366914965,0.8751593366914965,0.8751593366914965
2. North East,Sweet potato,5.162654342255193,5.162654342255193,5.162654342255193
2. North East,Wheat,0.3651798963009781,0.4085063246756704,0.4301695388630165
2. North East,Yam,8.074026287830975,8.077317745460329,8.081377209869865
3. North West,Cassava,53.94863019761434,60.25888427734957,69.59268285296305
3. North West,Cocoyam,0.24760406906106977,0.24760406906106977,0.24760406906106977
3. North West,Cowpea,9.245499976431308,9.245499976431308,9.245499976431308
3. North West,Groundnut,0.7537445508570093,0.7732945518857592,0.7928445529145093
3. North West,Maize,24.440145370161364,25.623843967043136,27.061721376447643
3. North West,Millet,23.787551921003683,23.787551921003683,23.787551921003683
3. North West,Plantain,0.16897978948367412,0.16897978948367412,0.16897978948367412
3. North West,Potato,0.24591704868181768,0.24591704868181768,0.24591704868181768
3. North West,Rice,26.892093626588895,26.892093626588895,26.892093626588895
3. North West,Sorghum,40.08699026008393,40.08699026008393,40.08699026008393
3. North West,Soybean,2.667469857338889,2.667469857338889,2.667469857338889
3. North West,Sweet potato,5.078085226353736,5.078085226353736,5.078085226353736
3. North West,Wheat,1.4592069876501932,1.6323332404222504,1.7188963668082784
3. North West,Yam,5.145075902458956,5.150378548857647,5.156918479416032
4. South East,Cassava,133.68500764927313,154.74937149645248,186.09869934766377
4. South East,Cocoyam,5.5464846733519835,5.5464846733519835,5.5464846733519835
