item_cd,item_cd_alt,item_os,n
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,PUMPKIN  LEAVES,1
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,PUMPKIN LEAVE.,1
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,PUNKIN,1
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,UGU LEAVES,1
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,UGWU LEAF,1
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,Ugu leave,1
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,ugwu/pumpkin,1
79. Other vegetables (fresh or canned),79. Other vegetables (fresh or canned),CARGBE,1
79. Other vegetables (fresh or canned),79. Other vegetables (fresh or canned),ONUIGBO,1
79. Other vegetables (fresh or canned),7910. Yakuwa,VEGETABLES  YAKUWA,1
79. Other vegetables (fresh or canned),7910. Yakuwa,YAKUWA DRY,1
79. Other vegetables (fresh or canned),7910. Yakuwa,YAKUWA VEGETABLES,1
79. Other vegetables (fresh or canned),792. Leaves (second variety),ATAMA,1
79. Other vegetables (fresh or canned),792. Leaves (second variety),CASHEW,1
79. Other vegetables (fresh or canned),792. Leaves (second variety),KAKASHI,1
79. Other vegetables (fresh or canned),792. Leaves (second variety),KUMBI,1
79. Other vegetables (fresh or canned),792. Leaves (second variety),SOKOYOKOTO,1
79. Other vegetables (fresh or canned),793. Kuka/Baobab,BAOBA LEAF (KUKA DRIED),1
79. Other vegetables (fresh or canned),793. Kuka/Baobab,BAOBAB LEAD (KUKA DRIED),1
79. Other vegetables (fresh or canned),793. Kuka/Baobab,"KUKA,",1
79. Other vegetables (fresh or canned),796. Cabbage,CABBAGE,1
79. Other vegetables (fresh or canned),797. Waterleaf,WATERLEAF,1
79. Other vegetables (fresh or canned),798. Pumpkin leaves,PUMPKIN LEAVES,1
82. Other domestic poultry,82. Other domestic poultry,FOWL,1
82. Other domestic poultry,822. Turkey,TURKEY,1
85. Other eggs (not chicken),852. Turkey eggs,TURKEY EGG,1
94. Wild game/bush  meat,94. Wild game/bush  meat,BUSH MEAT,1
94. Wild game/bush  meat,94. Wild game/bush  meat,MONKEY  MEAT,1
96. Other meat (excl,96. Other meat (excl,COW LEG.,1
96. Other meat (excl,96. Other meat (excl,EHA/FAMORITIRO,1
96. Other meat (excl,96. Other meat (excl,JERKY,1
96. Other meat (excl,961. Ponmo/cow skin,OKPOMO,1
96. Other meat (excl,961. Ponmo/cow skin,PONMO(SKIN MEAT),1
96. Other meat (excl,961. Ponmo/cow skin,SKIN MEAT (PONMON),1
96. Other meat (excl,963. Dog meat,dog meats,1
