survey_period,product,zone,estimate_kg_person_week,se,cv,ci_low,ci_high,estimate_kg_person_year_equivalent
Post-Planting,Agricultural eggs,2. North East,0.0020671862487392626,6.806611791708724e-4,0.32926940162551616,7.330903375643528e-4,0.0034012821599141724,0.10778899725569012
Post-Planting,Animal fat,2. North East,3.2884243214512126e-4,1.865646682497312e-4,0.5673375757280571,0,6.945091819145943e-4,0.017146783961852752
Post-Planting,Apples,2. North East,1.8596218075537225e-4,1.1256605962137592e-4,0.605316947586527,0,4.0659165761326905e-4,0.009696599425101553
Post-Planting,Avocado pear,2. North East,0.0013657667525054388,0.0013538781973143454,0.9912953253772766,0,0.004019368019241556,0.07121498066635502
Post-Planting,Baby milk powder,2. North East,0,0,NA,0,0,0
Post-Planting,Bananas,2. North East,0.012747242596683897,0.004250977269550654,0.33348210307510073,0.004415327148364616,0.02107915804500318,0.6646776496842318
Post-Planting,Beef,2. North East,0.02076558316146764,0.007147950061690811,0.3442210125335877,0.006755601040553651,0.034775565282381626,1.0827768362765269
Post-Planting,Beer,2. North East,0.029730733013303628,0.017907409550204798,0.6023198130430137,0,0.06482925573170503,1.5502453642651177
Post-Planting,Biscuits,2. North East,0.0026647884501020984,3.5265594292597255e-4,0.13233918921873927,0.001973582801967192,0.0033559940982370046,0.13894968346960943
Post-Planting,Bottled water,2. North East,0.0022338368681750166,0.00185829867689135,0.8318864745076614,0,0.005876102274882063,0.1164786366976973
Post-Planting,Bread,2. North East,0.06384392623841226,0.00876802594047648,0.13733531844100655,0.046658595395078356,0.08102925708174616,3.3290047252886388
Post-Planting,Brown beans,2. North East,0.033556199861352776,0.010967324809393466,0.3268345299738399,0.012060243234941582,0.05505215648776397,1.7497161356276805
Post-Planting,Buns/Pofpof/Donuts,2. North East,0.001786609700975406,5.130983345969942e-4,0.28719106042963183,7.809369651652974e-4,0.0027922824367855145,0.09315893440800331
Post-Planting,Butter/Margarine,2. North East,0,0,NA,0,0,0
Post-Planting,Cake,2. North East,0.0011790342079167004,5.462488787659212e-4,0.463301976395679,1.0838640553549497e-4,0.002249682010297906,0.06147821226994223
Post-Planting,Canned fish/seafood,2. North East,0,0,NA,0,0,0
Post-Planting,Cashew nut,2. North East,0,0,NA,0,0,0
Post-Planting,Cassava flour,2. North East,0.03836137367602488,0.007344530575748635,0.19145640189467003,0.023966093747557555,0.05275665360449221,2.000271627392726
Post-Planting,Cassava roots,2. North East,1.818860843553303,0.268798039082887,0.14778372959954797,1.2920166869508445,2.3457050001557613,94.84060112813651
Post-Planting,Cheese/wara,2. North East,0.0019752739555209463,7.913392373182277e-4,0.40062252383089053,4.2424905037722e-4,0.0035262988606646725,0.10299642768073505
Post-Planting,Chicken,2. North East,0.007770203820139036,0.001788380201198394,0.2301587246094136,0.004264978625790184,0.011275429014487888,0.4051606277643926
Post-Planting,Chocolate drinks,2. North East,5.013237932732381e-4,3.4025191538596903e-4,0.6787068955263419,0,0.0011682175474297374,0.026140454934961702
Post-Planting,Coconut,2. North East,4.1985254342185387e-4,2.7106194148335765e-4,0.6456122410838979,0,9.511339487292348e-4,0.021892311192710952
Post-Planting,Cocoyam,2. North East,1.7097482402876884e-4,1.6738737733976882e-4,0.9790176904150731,0,4.990540836147157e-4,0.008915115824357233
Post-Planting,Coffee,2. North East,1.837706880311633e-5,1.3780026983590811e-5,0.7498490173391545,0,4.538592169095431e-5,9.582328733053514e-4
Post-Planting,Dry pepper,2. North East,0.006496527407158026,0.0010262722534303762,0.1579724349811263,0.004485033790434489,0.008508021023881564,0.3387475005160971
Post-Planting,Duck,2. North East,6.8949181332209e-4,3.7793273163384545e-4,0.5481322973407047,0,0.001430239967324427,0.03595207312322326
Post-Planting,Fish - dried,2. North East,0.011400570111793532,0.0019115239707335546,0.16766915619036832,0.007653983129155765,0.015147157094431297,0.594458298686377
Post-Planting,Fish - fresh,2. North East,0.01945052604460024,0.005552341129833049,0.2854596897328884,0.008567937430127463,0.030333114659073016,1.0142060008970124
Post-Planting,Fish - frozen,2. North East,9.890328963275392e-4,7.462187118321363e-4,0.7544933182738243,0,0.0024516215715185263,0.05157100102279312
Post-Planting,Fish - smoked,2. North East,0.004690897905529725,0.001442270186329272,0.30746143177174984,0.0018640483403243521,0.0075177474707350984,0.24459681935976424
Post-Planting,Fresh milk,2. North East,0.04427652577650446,0.009262320168736873,0.20919256889057825,0.026122378245780193,0.062430673307228735,2.308704558346304
Post-Planting,Fresh pepper,2. North East,0.03963207923926229,0.005046839891210155,0.12734229412345352,0.029740273052490385,0.0495238854260342,2.066529846047248
Post-Planting,Fruit juice,2. North East,2.9626821636689497e-4,2.182396563885076e-4,0.7366286504328978,0,7.240179428883698e-4,0.015448271281988096
Post-Planting,Garden eggs/Eggplant,2. North East,0.027707758263167657,0.006686951252446302,0.2413385878761389,0.014601333808372906,0.04081418271796241,1.4447616808651706
Post-Planting,Gari - white,2. North East,0.022499653724929583,0.005279665184796314,0.2346553973382467,0.012151509962728808,0.03284779748713036,1.173196229942757
Post-Planting,Gari - yellow,2. North East,0.004428919234066174,0.002707875444010176,0.6114077274613304,0,0.00973635510432612,0.23093650291916482
Post-Planting,Gin,2. North East,2.1710486501070778e-4,1.3323239872086955e-4,0.613677628616468,0,4.7824036650361213e-4,0.01132046796127262
Post-Planting,Goat,2. North East,0.011072055053893082,0.0035274842318795694,0.31859345123462507,0.004158185959409126,0.017985924148377037,0.5773285849529964
