product,zone,estimate_kg_person_year,se,cv,ci_low,ci_high
Onions,1. North Central,6.134343845829963,0.4226236742450463,0.06889468293048812,5.306001444309672,6.962686247350254
Orange/Tangerine,1. North Central,2.3580433287414397,0.4535881119117237,0.19235783600033238,1.4690106293944614,3.247076028088418
Other alcoholic beverages,1. North Central,0,0,NA,0,0
Other domestic poultry,1. North Central,0,0,NA,0,0
Other eggs,1. North Central,8.906500097687192e-4,8.925189475945898e-4,1.0020983975808364,0,0.0026399871470541153
Other fish/seafood,1. North Central,0,0,NA,0,0
Other fruits,1. North Central,0.0027936560393661105,0.0021839873546976255,0.7817667328842599,0,0.007074271254573456
Other grains/flour,1. North Central,3.451321855451907e-4,3.475647148177284e-4,1.0070481090272563,0,0.0010263590265879384
Other meat,1. North Central,0.0032649192048072287,0.0032732364036822015,1.0025474440110882,0,0.009680462556024344
Other non-alcoholic drinks,1. North Central,0,0,NA,0,0
Other nuts/seeds/pulses,1. North Central,0,0,NA,0,0
Other oil/fat,1. North Central,0,0,NA,0,0
Other spices,1. North Central,0.5680042655205345,0.07380711675878288,0.1299411311482741,0.4233423166733201,0.7126662143677489
Other vegetables,1. North Central,0,0,NA,0,0
Palm oil,1. North Central,6.2586865814517605,0.21031470289067772,0.033603648329981285,5.846469763786033,6.670903399117488
Palm wine,1. North Central,0.2270031611173755,0.0892518760454812,0.3931745954820961,0.05206948406823236,0.40193683816651865
Pawpaw,1. North Central,1.507648337118926,0.48145278721902934,0.31934024358695756,0.5640008741696285,2.4512958000682232
Pineapples,1. North Central,1.2768559531088104,0.45361473681593595,0.3552591313934063,0.3877710689495759,2.165940837268045
Pito,1. North Central,1.4156427896883765,1.2014916851013828,0.8487251825482511,0,3.7705664924870868
Plantains,1. North Central,1.0065046572974146,0.2735833860822136,0.27181532057369484,0.47028122057627586,1.5427280940185533
Pork,1. North Central,0.25446926489315796,0.09964476418326064,0.39157877956340903,0.05916552709396711,0.4497730026923488
Potatoes,1. North Central,1.2303460751574182,0.7700467432594008,0.6258781645325899,0,2.739637691945844
Rice - imported,1. North Central,1.28435057976196,0.4908018769443892,0.38214011398301684,0.3223789009509572,2.246322258572963
Rice - local,1. North Central,24.86043463597712,3.692276792562824,0.14852020274896943,17.623572122553988,32.097297149400255
Sachet water,1. North Central,32.687650157945676,7.241488989673835,0.22153593037992003,18.49433173818496,46.88096857770639
Salt,1. North Central,1.969878696494408,0.6423913903397096,0.32610708034099156,0.7107915714285771,3.228965821560239
Seafood,1. North Central,0.006005867117308974,0.003335750488287636,0.5554153002609676,0,0.01254393807435274
Snails,1. North Central,0.005220391174713312,0.005277641969113429,1.0109667633102726,0,0.015564569434175633
Soft drinks,1. North Central,2.333372905884051,0.38485086975055033,0.16493328982267447,1.5790652011729724,3.0876806105951298
Soya beans,1. North Central,1.1012507357954489,0.2852917446977718,0.2590615701080114,0.5420789161878161,1.6604225554030816
Sugar,1. North Central,1.400378641873564,0.1666250071436941,0.11898568155878671,1.0737936278719236,1.7269636558752044
Sweet potatoes,1. North Central,3.8594269912347627,0.9345690254565161,0.2421522748270762,2.027671701339991,5.691182281129534
Tea,1. North Central,0.07666689609590797,0.0252504242460937,0.3293523741264572,0.02717606457356432,0.12615772761825161
Tomato puree - canned,1. North Central,0.2417914113452531,0.045307289815459686,0.18738171700716685,0.1529891233069521,0.3305936993835541
Tomatoes,1. North Central,5.691936853843158,0.6225127167796572,0.10936746713192026,4.47181192895503,6.912061778731286
Watermelon,1. North Central,2.8454382824764064,0.5999859864821792,0.21085890007777883,1.6694657489713354,4.021410815981477
Wheat flour,1. North Central,0.31222807153911175,0.10139304083412928,0.32474031029406697,0.11349771150421836,0.5109584315740051
White beans,1. North Central,7.544229418954316,0.4448594054971603,0.05896684482837758,6.672304984179882,8.416153853728751
Wild game/Bush meat,1. North Central,0.0555247053014012,0.020068202232712613,0.3614283430011501,0.016191028925284484,0.09485838167751792
Yam flour,1. North Central,3.687949007578396,0.8010621520140255,0.21721074515073732,2.117867189630906,5.258030825525886
Yam roots,1. North Central,68.97393765661926,9.484435354457686,0.13750752351816017,50.38444436188219,87.56343095135632
Agricultural eggs,2. North East,0.06307664255735014,0.02461839594035206,0.39029337869352637,0.0148245865142601,0.11132869860044017
Animal fat,2. North East,0.007954405890891074,0.008019514420599026,1.0081852159169438,0,0.023672654155265167
Apples,2. North East,0.0044899302623120415,0.004554467451156954,1.0143737619683384,0,0.013416686466579671
Avocado pear,2. North East,0.15728742394543582,0.10264901878510878,0.6526206368585354,0,0.35847950076424906
Baby milk powder,2. North East,0,0,NA,0,0
Bananas,2. North East,0.8379195356383349,0.2921133301757938,0.3486174003011627,0.2653774084937791,1.4104616627828905
Beef,2. North East,1.0723734589339888,0.1730171817145145,0.16134041762512957,0.7332597827735404,1.4114871350944371
Beer,2. North East,1.5722041529501642,0.7824733302632746,0.4976919370140332,0.038556425634146185,3.105851880266182
Biscuits,2. North East,0.1502213519791998,0.020572139969452036,0.13694551206209707,0.10989995763907381,0.1905427463193258
Bottled water,2. North East,0.09602855493988642,0.07797322162391351,0.8119795374690841,0,0.2488560693227569
Bread,2. North East,3.6637104730586674,0.38482579868262506,0.10503717515684347,2.9094519076407224,4.417969038476612
Brown beans,2. North East,0.7700822024430273,0.20930541774889663,0.2717962018663606,0.35984358365518987,1.1803208212308647
Buns/Pofpof/Donuts,2. North East,0.0681046655938722,0.020041249524932737,0.2942713153375497,0.028823816525004035,0.10738551466274035
Butter/Margarine,2. North East,3.729015824214258e-4,2.779416164018324e-4,0.7453484498430563,0,9.176671505690173e-4
Cake,2. North East,0.34330196961663695,0.14083716188673168,0.41024280182255757,0.06726113231864289,0.619342806914631
Canned fish/seafood,2. North East,0,0,NA,0,0
Cashew nut,2. North East,0.014853619555306254,0.008543435122282948,0.5751753025901973,0,0.031598752394980834
Cassava flour,2. North East,1.8704694337253203,0.4882118661003953,0.2610103417343999,0.9135741761685455,2.827364691282095
Cassava roots,2. North East,7.334405315529502,2.4423654659862195,0.3330011583645203,2.547369002196512,12.121441628862492
Cheese/wara,2. North East,0.07305568843862917,0.022894041957875897,0.31337795108327754,0.02818336620119241,0.11792801067606593
Chicken,2. North East,1.2117060674618811,0.19493187043640872,0.16087389150796758,0.82963960140652,1.5937725335172424
Chocolate drinks,2. North East,0.03415721730317537,0.012205682548832657,0.35733831712626,0.010234079507463363,0.05808035509888738
Coconut,2. North East,0.03705432776728637,0.021015592309196075,0.5671562156296844,0,0.07824488869331067
Cocoyam,2. North East,0.19954201885777323,0.07479872513448305,0.3748520014112769,0.052936517594186466,0.34614752012135996
Coffee,2. North East,0.002026024793106766,0.0012087440370086703,0.5966087093905433,0,0.00439516310564376
Dry pepper,2. North East,0.21175038141307356,0.035235948187774084,0.16640323362174875,0.14268792296503635,0.2808128398611108
Duck,2. North East,0.15548577283327558,0.057438922902109245,0.3694159398345719,0.04290548394514146,0.2680660617214097
Fish - dried,2. North East,1.1127703152382804,0.38851927284815946,0.34914597157003135,0.35127254045588785,1.874268090020673
Fish - fresh,2. North East,1.185775089274536,0.3082082174092897,0.25992131239479255,0.5816869831523281,1.7898631953967439
Fish - frozen,2. North East,0.04804136170439387,0.020087212430881168,0.41812329455773917,0.008670425339866776,0.08741229806892095
Fish - smoked,2. North East,0.8526250196720719,0.18160851712809647,0.2129992821439194,0.49667232610100287,1.208577713243141
Fresh milk,2. North East,0.803765832243085,0.32210875104844705,0.4007494946003513,0.17243268018812874,1.4350989842980413
Fresh pepper,2. North East,1.3505178050909687,0.15880972753547065,0.11759173180598939,1.0392507391214463,1.6617848710604912
Fruit juice,2. North East,0.004992645498377482,0.005057696728292224,1.0130294109477396,0,0.01490573108583024
Garden eggs/Eggplant,2. North East,0.5486098155559889,0.1522138362076814,0.2774537237424748,0.25027069658893336,0.8469489345230443
Gari - white,2. North East,1.447975837984979,0.5441927067198008,0.3758299637631427,0.3813581328141695,2.5145935431557884
Gari - yellow,2. North East,0.13388309149257577,0.05290023890541499,0.3951226276273167,0.030198623237962394,0.23756755974718913
Gin,2. North East,0.0030799177207711096,0.0031143074223898733,1.0111657858217569,0,0.009183960268655261
Goat,2. North East,0.4830078491001508,0.14084872783746175,0.29160753412157703,0.2069443425387258,0.7590713556615758
Ground pepper,2. North East,0.11030619865355205,0.020232340745123055,0.18341979863405924,0.07065081079311086,0.14996158651399324
Groundnut oil,2. North East,1.7616531454025877,0.14773043384807813,0.08385897884246535,1.4721014950603546,2.051204795744821
Groundnuts - shelled,2. North East,1.0890300944859892,0.13769715776359065,0.12644017687002695,0.8191436652693516,1.3589165237026268
