population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),25338,Katsina,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,71.57685092424744,110.11525288205765,42.40798873713697
1,All Population,2,DALYs (Disability-Adjusted Life Years),25338,Katsina,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,959.8853167853274,1706.22601241854,433.7942206829735
1,All Population,2,DALYs (Disability-Adjusted Life Years),25341,Kwara,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,18.14441601154744,30.474036098112187,10.290118890683676
1,All Population,2,DALYs (Disability-Adjusted Life Years),25341,Kwara,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,711.7187347531851,1372.5245812806595,234.44666926650896
1,All Population,2,DALYs (Disability-Adjusted Life Years),25320,Akwa Ibom,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,14.746623823399593,23.704200337682845,8.846531821645245
1,All Population,2,DALYs (Disability-Adjusted Life Years),25320,Akwa Ibom,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,810.3169472960518,1486.0470404478976,343.8396327250649
1,All Population,2,DALYs (Disability-Adjusted Life Years),25321,Anambra,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,9.29811225938836,15.752635791846224,5.176643728205688
1,All Population,2,DALYs (Disability-Adjusted Life Years),25321,Anambra,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,750.7115464142825,1390.198305411142,291.8401015504659
1,All Population,2,DALYs (Disability-Adjusted Life Years),25340,Kogi,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,13.75200073681139,22.845760678966524,7.646554078387471
1,All Population,2,DALYs (Disability-Adjusted Life Years),25340,Kogi,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,600.0422020431791,1168.2649726610016,229.73819249754905
1,All Population,2,DALYs (Disability-Adjusted Life Years),25339,Kebbi,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,86.18817930900533,134.49799833395528,49.267458963841406
1,All Population,2,DALYs (Disability-Adjusted Life Years),25339,Kebbi,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,841.7903727638472,1481.04045978474,338.4215626050133
